List ,Headword ,Related forms,Total frequency
4k,soak,"soak (363), soaked (621), soaking (356), soaks (36)",1376
4k,soap,"soap (1327), soapier (0), soapiest (0), soapiness (0), soaps (174), soapy (133)",1634
4k,soar,"soar (229), soared (459), soaring (473), soars (66)",1227
4k,soccer,"soccer (1354), soccers (0)",1354
4k,socialist,"socialist (3465), socialists (714)",4179
4k,sociology,"sociology (1952), sociological (811), sociologically (45), sociologies (3), sociologist (208), sociologists (520)",3539
4k,sodium,"sodium (938), sodiums (0)",938
4k,solar,solar (1355),1355
4k,solo,"solo (1218), soloed (15), soloing (27), soloist (166), soloists (132), solos (176)",1734
4k,span,"span (840), spanned (147), spanning (292), spans (223)",1502
4k,spark,"spark (577), sparked (483), sparking (68), sparks (454), sparky (38)",1620
4k,sparkle,"sparkle (281), sparkled (169), sparkler (21), sparklers (23), sparkles (32), sparkling (764), sparkly (30)",1320
4k,spatial,"spatial (1271), spatially (122)",1393
4k,specimen,"specimen (1060), specimens (1476)",2536
4k,spectacle,"spectacle (619), spec (120), specs (112), spectacles (542)",1393
4k,spectacular,"spectacular (1931), spectacularly (198), unspectacular (42)",2171
4k,spectrum,"spectrum (1644), spectrums (1)",1645
4k,sphere,"sphere (1222), spheres (522), spherical (184), spherically (23)",1951
4k,spice,"spice (392), spiced (145), spices (297), spicier (6), spiciest (1), spicily (0), spiciness (1), spicing (4), spicy (208)",1054
4k,spike,"spike (390), spiked (142), spikes (276), spikey (15), spikier (2), spikiest (0), spikiness (5), spiking (28), spiky (174)",1032
4k,spine,"spine (1040), spinal (423), spinally (3), spineless (38), spinelessly (2), spinelessness (3), spines (480), spiny (87)",2076
4k,spit,"spit (460), spat (505), spits (103), spitter (0), spitters (0), spitting (324)",1392
4k,splash,"splash (539), splashed (346), splashes (126), splashing (269)",1280
4k,spontaneous,"spontaneous (1021), spontaneously (444)",1465
4k,spoon,"spoon (843), spooned (58), spoonful (119), spoonfuls (42), spooning (39), spoons (179), spoonsful (1)",1281
4k,spouse,"spouse (639), spouses (242)",881
4k,spur,"spur (490), spurred (282), spurring (27), spurs (750)",1549
4k,spy,"spy (751), counterspies (0), counterspy (0), spied (100), spies (343), spying (216)",1410
4k,squad,"squad (2525), squaddie (17), squaddies (27), squaddy (2), squads (315)",2886
4k,stab,"stab (415), stabbed (713), stabbing (276), stabbings (26), stabs (52)",1482
4k,stack,"stack (746), stacked (480), stacking (163), stacks (280), unstacked (1)",1670
4k,stadium,"stadium (970), stadia (63), stadiums (58)",1091
4k,stagger,"stagger (127), staggered (596), staggering (551), staggeringly (36), staggers (42)",1352
4k,stall,"stall (867), stalled (177), stalling (121), stalls (687)",1852
4k,stance,"stance (1717), stances (127)",1844
4k,startle,"startle (64), startled (854), startles (6), startling (649), startlingly (111)",1684
4k,statue,"statue (900), statuaries (0), statuary (88), statues (484), statuesque (36), statuette (73), statuettes (50)",1631
4k,steep,"steep (1631), steeper (160), steepest (56), steeply (346), steepness (30)",2223
4k,steer,"steer (559), steered (314), steering (1127), steers (110)",2110
4k,stereotype,"stereotype (277), stereotyped (195), stereotypes (351), stereotypical (118), stereotypically (7), stereotyping (121)",1069
4k,stern,"stern (799), sterner (72), sternest (18), sternly (199), sternness (16)",1104
4k,stimulus,"stimulus (1506), stimuli (891)",2397
4k,sting,"sting (579), stinger (9), stingers (5), stinging (262), stings (114), stung (338)",1307
4k,stitch,"stitch (926), stitched (225), stitchery (2), stitches (979), stitching (205)",2337
4k,straightforward,"straightforward (1961), straightforwardly (64), straightforwardness (14)",2039
4k,strand,"strand (964), strands (803)",1767
4k,strap,"strap (464), strapless (28), strapped (323), strapping (97), straps (435), unstrap (4), unstrapped (7), unstrapping (0), unstraps (1)",1359
4k,straw,"straw (1459), straws (112)",1571
4k,streak,"streak (434), streaked (252), streakier (0), streakiest (0), streaking (54), streaks (150), streaky (59)",949
4k,stride,"stride (581), strides (317), striding (273), strode (641)",1812
4k,stripe,"stripe (212), striped (612), stripes (574), stripey (22), striping (35), stripy (43)",1498
4k,stroll,"stroll (486), strolled (363), stroller (3), strollers (21), strolling (204), strolls (35)",1112
4k,stuffed,"stuffed (897), stuffing (321), stuffs (61), overstuffed (21)",1300
4k,stumble,"stumble (194), stumbled (612), stumbler (0), stumblers (1), stumbles (44), stumbling (404)",1255
4k,subjected,"subjected (1246), subjecting (110), subjection (106)",1462
4k,subjective,"subjective (1155), subjectively (93), subjectivism (32), subjectivities (43), subjectivity (324)",1647
4k,subordinate,"subordinate (863), insubordinate (12), insubordination (38), subordinated (195), subordinates (415), subordinating (21), subordination (252)",1796
4k,subscribe,"subscribe (365), subscribed (285), subscriber (142), subscribers (443), subscribes (23), subscribing (86), subscription (785), subscriptions (372)",2501
4k,subsidiary,"subsidiary (1763), subsidiaries (584), subsidiarity (148)",2495
4k,sued,"sued (472), sues (59), suing (215)",746
4k,suite,"suite (1567), suites (251)",1818
4k,summon,"summon (337), summoned (891), summoning (158), summons (691), summonsed (30), summonses (122), summonsing (1)",2230
4k,superb,"superb (2064), superbly (376)",2440
4k,supper,"supper (1426), suppers (70)",1496
4k,suppress,"suppress (548), suppressed (740), suppresses (47), suppressing (201), suppression (495), suppressor (76), suppressors (8)",2115
4k,surge,"surge (793), surged (253), surges (88), surging (164)",1298
4k,surgeon,"surgeon (1080), surgeons (607)",1687
4k,surplus,"surplus (2152), surpluses (334)",2486
4k,surrender,"surrender (1076), surrendered (497), surrendering (143), surrenders (46)",1762
4k,swift,"swift (1250), swifter (49), swiftest (20), swiftly (1175), swiftness (38)",2532
4k,syndrome,"syndrome (1225), syndromes (78)",1303
4k,synthesis,"synthesis (1211), synth (57), syntheses (30), synthesise (69), synthesised (105), synthesiser (41), synthesisers (29), synthesises (10), synthesising (35), synthesize (45), synthesized (109), synthesizer (36), synthesizers (13), synthesizes (8), synthesizing (29), synths (10)",1837
4k,tablespoon,"tablespoon (135), tablesp (0), tablespoonful (5), tablespoonfuls (2), tablespoons (172), tbsp (639), tbsps (23)",976
4k,tag,"tag (720), tagged (168), tagging (96), tags (292), untagged (0)",1276
4k,tangle,"tangle (327), entangle (15), entangled (186), entanglement (53), entanglements (39), entangles (4), entangling (10), tangled (422), tangles (65), tangling (35), untangle (26), untangled (13), untangles (7), untangling (15)",1217
4k,telecom,"telecom (1001), telecommunication (88), telecommunications (1241), telecoms (126)",2456
4k,telescope,"telescope (480), telescoped (19), telescopes (138), telescopic (72), telescoping (12)",721
4k,temple,"temple (2110), temples (620)",2730
4k,tenant,"tenant (2640), subtenancy (5), subtenant (14), subtenants (18), tenancies (137), tenancy (639), tenanted (55), tenants (1973)",5481
4k,terminal,"terminal (2165), terminally (163), terminals (797)",3125
4k,terminate,"terminate (410), terminated (528), terminates (92), terminating (172), termination (531), terminations (28), terminator (107), terminators (14)",1882
4k,terrace,"terrace (1801), terraced (378), terraces (581), terracing (64)",2824
4k,terrify,"terrify (55), terrified (1055), terrifies (28), terrifying (596), terrifyingly (35)",1769
4k,testament,"testament (1204), testamentary (62), testaments (50)",1316
4k,testimony,"testimony (731), testimonies (45)",776
4k,textile,"textile (755), textiles (553)",1308
4k,texture,"texture (930), textural (49), textured (228), textures (255), texturing (9), untextured (1)",1472
4k,theft,"theft (1735), thefts (254)",1989
4k,theology,"theology (1131), theologies (15)",1146
4k,thesis,"thesis (1252), antitheses (13), antithesis (188), theses (538)",1991
4k,thigh,"thigh (806), thighs (704)",1510
4k,thou,"thou (755), tha (84), thee (639), thi (28), thine (63), thy (644), thyself (56)",2269
4k,thread,"thread (959), threaded (224), threading (97), threads (468)",1748
4k,threshold,"threshold (981), thresholds (151)",1132
4k,thrive,"thrive (422), thrived (129), thrives (114), thriving (477)",1142
4k,thrust,"thrust (2008), thrusted (2), thrusting (327), thrustings (0), thrusts (111)",2448
4k,thumb,"thumb (1159), thumbed (81), thumbing (43), thumbings (0), thumbs (321)",1604
4k,thunder,"thunder (766), thundered (163), thundering (153), thunderous (111), thunderously (10), thunders (32), thundery (16)",1251
4k,tick,"tick (635), ticked (211), ticker (30), tickers (6), ticking (370), ticks (164)",1416
4k,tiger,"tiger (902), tigers (417), tigress (47), tigresses (3)",1369
4k,tile,"tile (422), tiled (407), tiler (33), tilers (5), tiles (1163), tiling (82)",2112
4k,tilt,"tilt (342), tilted (437), tilting (199), tilts (49)",1027
4k,timber,"timber (2415), timbered (129), timbering (12), timbers (296)",2852
4k,tobacco,"tobacco (1524), baccy (31), tobacconist (55), tobacconists (19), tobaccos (8)",1637
4k,tolerate,"tolerate (617), tolerated (468), tolerates (27), tolerating (44), toleration (137)",1293
4k,torture,"torture (860), tortured (500), torturer (29), torturers (61), tortures (31), torturing (66)",1547
4k,toxic,"toxic (1315), nontoxic (1), toxicities (13), toxicity (176)",1505
4k,tragic,"tragic (1209), tragically (224)",1433
4k,trait,"trait (300), traits (529)",829
4k,transcript,"transcript (305), transcription (756), transcriptional (143), transcriptions (98), transcripts (223)",1525
4k,transplant,"transplant (498), transplantation (244), transplantations (2), transplanted (119), transplanting (41), transplants (126)",1030
4k,trauma,"trauma (534), traumas (114), traumatic (459), traumatically (6)",1113
4k,tremble,"tremble (250), trembled (311), trembles (32), trembling (988)",1581
4k,triangle,"triangle (789), triangles (253), triangular (447)",1489
4k,tribunal,"tribunal (1598), tribunals (531)",2129
4k,tribute,"tribute (1515), tributaries (93), tributary (115), tributes (171)",1894
4k,trim,"trim (767), trimmed (439), trimmer (62), trimmers (15), trimming (218), trimmings (185), trims (51)",1737
4k,trophy,"trophy (1312), trophies (297)",1609
4k,tropics,"tropics (222), subtropical (44), tropic (48), tropical (1845), tropically (3)",2162
4k,trousers,"trousers (2140), trouser (338), trousered (26)",2504
4k,trustee,"trustee (911), trustees (1193), trusteeship (103), trusteeships (3)",2210
4k,tuck,"tuck (480), tucked (898), tucking (178), tucks (59), untucked (3)",1618
4k,tug,"tug (578), tugged (365), tugging (226), tugs (86)",1255
4k,tumble,"tumble (349), tumbled (393), tumbler (117), tumblers (46), tumbles (65), tumbling (382)",1352
4k,tumour,"tumour (964), tumor (22), tumors (4), tumours (674)",1664
4k,turnover,"turnover (2889), turnovers (34)",2923
4k,tutor,"tutor (1232), tutored (53), tutorial (371), tutorials (212), tutoring (87), tutors (720), untutored (41)",2716
4k,undermine,"undermine (857), undermined (725), undermines (145), undermining (360)",2087
4k,unify,"unify (133), reunification (283), reunifications (0), reunified (12), reunifies (0), reunify (8), reunifying (1), unification (735), unified (896), unifies (16), unifying (199)",2283
4k,upgrade,"upgrade (688), upgraded (341), upgrades (175), upgrading (362)",1566
4k,upwards,"upwards (1717), upward (731), upwardly (73)",2521
4k,utilise,"utilise (231), utilisation (212), utilised (337), utiliser (0), utilisers (0), utilises (63), utilising (195), utilization (102), utilize (124), utilized (152), utilizer (0), utilizers (0), utilizes (18), utilizing (72)",1506
4k,utter,"utter (652), unutterable (17), unutterably (17), unuttered (2), utterance (816), utterances (499), uttered (483), uttering (148), utters (40)",2674
4k,validate,"validate (160), invalidate (108), invalidated (74), invalidates (17), invalidating (21), validated (273), validates (32), validating (102), validation (576), validations (10)",1373
4k,vanish,"vanish (311), vanished (1078), vanishes (138), vanishing (209), vanishingly (25)",1761
4k,veil,"veil (473), unveil (128), unveiled (597), unveiling (134), unveils (73), veiled (273), veiling (21), veilless (0), veils (125)",1824
4k,vein,"vein (755), veined (98), veins (783)",1636
4k,vendor,"vendor (1519), vendors (923)",2442
4k,venue,"venue (1189), venues (511)",1700
4k,verbal,"verbal (1798), nonverbal (8), verbalisation (7), verbalise (13), verbalised (5), verbalises (1), verbalising (4), verbalization (4), verbalize (5), verbalized (2), verbalizes (0), verbalizing (3), verbally (225), verbals (11)",2086
4k,verdict,"verdict (1400), verdicts (186)",1586
4k,verify,"verify (252), verifiable (82), verification (381), verifications (5), verified (275), verifier (27), verifiers (65), verifies (13), verifying (76)",1176
4k,verse,"verse (1450), versed (92), verses (572), versification (7), versified (4), versify (3), versifying (3)",2131
4k,vertical,"vertical (1841), vertically (411), verticals (28)",2280
4k,veterinarian,"veterinarian (21), vet (691), veterinarians (22), veterinary (796), vets (207)",1737
4k,viable,"viable (974), nonviable (1), viabilities (0), viability (468)",1443
4k,vibrate,"vibrate (92), vibrated (66), vibrates (32), vibrating (152), vibration (466), vibrational (144), vibrations (325), vibrator (45), vibrators (17), vibratory (10)",1349
4k,vigorous,"vigorous (963), vigor (1), vigorously (722), vigour (532)",2218
4k,villa,"villa (2076), villas (319)",2395
4k,virgin,"virgin (1842), virginal (75), virginity (161), virgins (113)",2191
4k,vitamin,"vitamin (858), vitamins (489)",1347
4k,vivid,"vivid (996), vividly (478), vividness (39)",1513
4k,vocal,"vocal (773), nonvocal (0), vocalisation (18), vocalise (10), vocalised (5), vocalises (2), vocalising (8), vocalist (117), vocalists (33), vocalization (6), vocalize (1), vocalized (1), vocalizes (0), vocalizing (4), vocally (31), vocals (226)",1235
4k,vocation,"vocation (256), nonvocational (0), vocational (1129), vocationally (41), vocations (42)",1468
4k,volcano,"volcano (391), volcanic (698), volcanism (57), volcanoes (293), volcanos (22)",1461
4k,wagon,"wagon (630), waggon (75), waggoner (29), waggoners (8), waggons (47), wagons (339)",1128
4k,waist,"waist (1464), waisted (43), waists (44)",1551
4k,waiter,"waiter (697), waiters (243), waitress (286), waitresses (78)",1304
4k,wan,"wan (159), wanly (53), wanness (0)",212
4k,ward,"ward (3489), wards (733), wardship (133), wardships (5)",4360
4k,warehouse,"warehouse (967), warehoused (4), warehouses (377), warehousing (131)",1479
4k,warrant,"warrant (1177), unwarranted (165), warranted (204), warranting (16), warrants (490)",2052
4k,warrior,"warrior (582), warriors (543)",1125
4k,wax,"wax (746), unwaxed (3), waxed (171), waxen (31), waxes (56), waxier (0), waxiest (0), waxiness (1), waxing (80), waxy (71)",1159
4k,weary,"weary (746), wearied (33), wearier (5), wearies (4), weariest (2), wearily (467), weariness (179), wearisome (35), wearying (24)",1495
4k,webs,"webs (134), webbed (42), webbing (80), webbings (0)",256
4k,weep,"weep (356), weeper (3), weepers (8), weeping (609), weeps (47), weepy (31), wept (493)",1547
4k,wells,"wells (1526), welled (105), welling (104)",1735
4k,whale,"whale (596), whaled (0), whaler (13), whalers (47), whales (741), whaling (356)",1753
4k,whiskey,"whiskey (139), whiskeys (6), whiskies (207), whisky (1655)",2007
4k,widow,"widow (1564), widowed (335), widower (164), widowers (39), widowhood (60), widowhoods (0), widows (432)",2594
4k,wit,"wit (814), witless (38), witlessly (3), witlessness (0), wits (379), witted (105), wittier (3), wittiest (17), wittily (33), witty (414), witticism (23)",1829
4k,worship,"worship (1641), worshipful (49), worshipped (233), worshiped (0), worshipper (59), worshippers (196), worshiper (0), worshipers (0), worshipping (95), worships (91)",2364
4k,wreck,"wreck (559), wreckage (375), wreckages (0), wrecked (513), wrecker (27), wreckers (14), wrecking (116), wrecks (111)",1715
4k,wrist,"wrist (1025), wrists (416)",1441
5k,abbey,"abbey (1938), abbeys (84)",2022
5k,abdomen,"abdomen (288), abdomens (8), abdominal (539)",835
5k,abolish,"abolish (555), abolished (1080), abolishes (32), abolishing (210)",1877
5k,accessory,"accessory (221), accessories (533), accessorise (5), accessorised (5), accessorises (0), accessorising (4), accessorize (3), accessorized (1), accessorizes (0), accessorizing (0)",772
5k,adore,"adore (158), adorable (69), adoration (143), adored (294), adorer (0), adorers (2), adores (67), adoring (96), adoringly (18)",847
5k,advocacy,"advocacy (457), advocacies (0)",457
5k,aerial,"aerial (683), aerialist (0), aerialists (0), aerially (3), aerials (76)",762
5k,aftermath,"aftermath (687), aftermaths (3)",690
5k,aggravate,"aggravate (97), aggravated (393), aggravates (16), aggravating (95), aggravation (136), aggravations (15), aggro (81)",833
5k,aggregate,"aggregate (1530), aggregated (132), aggregates (229), aggregating (40), aggregation (251), aggregations (48)",2230
5k,agitate,"agitate (37), agitated (376), agitatedly (32), agitates (7), agitating (42), agitation (465), agitations (33), agitator (35), agitators (54)",1081
5k,aide,"aide (316), aides (209)",525
5k,ail,"ail (68), ailing (259), ailment (64), ailments (205), ails (15)",611
5k,airways,"airways (726), airway (122)",848
5k,aisle,"aisle (421), aisled (42), aisles (186)",649
5k,albeit,albeit (1381),1381
5k,algorithm,"algorithm (555), algorithms (232)",787
5k,allegiance,"allegiance (660), allegiances (109)",769
5k,allergy,"allergy (235), allergenic (27), allergic (254), allergically (0), allergies (116), allergist (5), allergists (7), nonallergic (0)",644
5k,aloud,aloud (935),935
5k,altar,"altar (879), altars (92)",971
5k,altitude,"altitude (529), altitudes (124)",653
5k,ambiguity,"ambiguity (847), ambiguities (214)",1061
5k,ammunition,"ammunition (593), ammo (38), ammunitions (3)",634
5k,amnesty,"amnesty (1132), amnesties (14)",1146
5k,ample,"ample (810), amply (202)",1012
5k,amplify,"amplify (107), amplification (305), amplifications (10), amplified (293), amplifier (337), amplifiers (135), amplifies (25), amplifying (43)",1255
5k,analogy,"analogy (922), analogical (35), analogies (164), analogise (0), analogised (0), analogises (0), analogising (0), analogize (0), analogized (2), analogizes (2), analogizing (17)",1142
5k,analytic,"analytic (261), analytical (820), analytically (87)",1168
5k,anatomy,"anatomy (466), anatomical (227), anatomically (32), anatomies (7), anatomist (39), anatomists (28)",799
5k,anecdote,"anecdote (188), anecdotal (164), anecdotes (243)",595
5k,angler,"angler (202), anglers (511)",713
5k,anguish,"anguish (527), anguished (194), anguishes (1), anguishing (6)",728
5k,anomaly,"anomaly (242), anomalies (344), anomalous (276), anomalously (20)",882
5k,ant,"ant (478), ants (575)",1053
5k,antibiotic,"antibiotic (251), antibiotics (496)",747
5k,antibody,"antibody (812), antibodies (779)",1591
5k,appal,"appal (15), appalled (569), appalling (1032), appallingly (109), appals (12)",1737
5k,apparatus,"apparatus (1111), apparatuses (58)",1169
5k,appendix,"appendix (1765), appendices (128), appendixes (4)",1897
5k,appetite,"appetite (864), appetites (172)",1036
5k,applaud,"applaud (183), applauded (293), applauder (1), applauders (0), applauding (54), applauds (16)",547
5k,applause,applause (542),542
5k,appliance,"appliance (181), appliances (483)",664
5k,apprehend,"apprehend (92), apprehended (130), apprehending (21), apprehends (5), apprehension (508), apprehensions (56), misapprehend (0), misapprehends (0), misapprehension (58), misapprehensions (16)",886
5k,apprentice,"apprentice (519), apprenticed (219), apprentices (336), apprenticeship (497), apprenticeships (60)",1631
5k,appropriated,"appropriated (184), appropriates (71), appropriating (47), appropriation (432), appropriations (63)",797
5k,apt,"apt (662), apter (5), aptest (1), aptly (252), aptness (13), inapt (5), inaptly (3), inaptness (0)",941
5k,aquarium,"aquarium (873), aquariums (48)",921
5k,arbitrary,"arbitrary (1084), arbitrarily (232), arbitrariness (52)",1368
5k,arbitrate,"arbitrate (38), arbitrated (6), arbitrates (4), arbitrating (14), arbitration (693), arbitrations (49), arbitrator (303), arbitrators (146)",1253
5k,arc,"arc (1025), arced (33), arcing (19), arcs (142)",1219
5k,arctic,"arctic (895), subarctic (16)",911
5k,artery,"artery (323), arterial (297), arteries (247)",867
5k,artillery,"artillery (730), artilleries (3)",733
5k,ascend,"ascend (128), ascendance (8), ascendances (0), ascendancies (0), ascendancy (194), ascendency (11), ascendant (87), ascendants (12), ascended (138), ascendent (4), ascending (237), ascends (45)",864
5k,ass,"ass (333), asses (60)",393
5k,assimilate,"assimilate (179), assimilated (237), assimilates (12), assimilating (56), assimilation (294)",778
5k,asthma,"asthma (665), asthmatic (85), asthmatically (4), asthmatics (78)",832
5k,asylum,"asylum (971), asylums (105)",1076
5k,audible,"audible (329), audibly (46), inaudible (89), inaudibly (20)",484
5k,authoritarian,"authoritarian (512), authoritarianism (99), authoritarians (8)",619
5k,autobiography,"autobiography (432), autobiographical (208), autobiographically (1), autobiographies (68)",709
5k,automate,"automate (57), automated (408), automates (12), automating (24), automation (383)",884
5k,autonomous,"autonomous (1181), autonomously (44)",1225
5k,aviation,aviation (982),982
5k,awe,"awe (572), awed (120), aweing (0), awes (2), awing (0)",694
5k,axis,axis (1120),1120
5k,badge,"badge (558), badges (272)",830
5k,bail,"bail (1035), bailed (118), bailing (46), bails (15)",1214
5k,bait,"bait (566), baited (77), baiting (120), baits (136)",899
5k,balcony,"balcony (922), balconies (179)",1101
5k,bald,"bald (644), balder (26), baldest (5), balding (170), baldly (45), baldness (48)",938
5k,banner,"banner (558), banners (312)",870
5k,baptist,"baptist (460), baptistery (27), baptists (100)",587
5k,baron,"baron (788), baroness (239), baronesses (0), baronial (97), barons (397), barony (44)",1565
5k,basketball,"basketball (208), basketballs (2)",210
5k,batch,"batch (806), batches (187)",993
5k,battalion,"battalion (477), battalions (203)",680
5k,beloved,beloved (772),772
5k,beneficiary,"beneficiary (495), beneficiaries (451)",946
5k,beta,"beta (758), betas (30)",788
5k,bewilder,"bewilder (13), bewildered (521), bewildering (255), bewilderingly (16), bewilderment (232), bewilders (4)",1041
5k,bilateral,"bilateral (774), bilaterally (45)",819
5k,binoculars,"binoculars (526), binocular (160)",686
5k,bleak,"bleak (846), bleaker (22), bleakest (17), bleakly (112), bleakness (46)",1043
5k,blockade,"blockade (379), blockaded (52), blockades (29), blockading (25)",485
5k,blossom,"blossom (378), blossomed (136), blossoming (100), blossoms (129)",743
5k,blouse,"blouse (479), blouses (106)",585
5k,blunt,"blunt (607), blunted (72), blunter (20), bluntest (3), blunting (9), bluntly (304), bluntness (40), blunts (11)",1066
5k,blush,"blush (295), blushed (298), blusher (50), blushers (5), blushes (55), blushing (184), blushingly (3)",890
5k,botany,"botany (233), botanic (166), botanical (315), botanically (18), botanist (113), botanists (80)",925
5k,bourgeois,"bourgeois (1092), bourgeoisie (595), bourgeoisies (12)",1699
5k,bout,"bout (443), bouts (222)",665
5k,bowel,"bowel (1267), bowels (203)",1470
5k,boycott,"boycott (623), boycotted (177), boycotter (0), boycotters (2), boycotting (55), boycotts (47)",904
5k,brace,"brace (333), braced (229), braces (189), bracing (192)",943
5k,bracket,"bracket (415), bracketed (65), bracketing (25), brackets (652)",1157
5k,bribe,"bribe (245), bribed (100), bribery (236), bribes (207), bribing (53)",841
5k,brigade,"brigade (1173), brigades (93)",1266
5k,brisk,"brisk (476), brisker (25), briskest (1), briskly (455), briskness (16)",973
5k,brochure,"brochure (943), brochures (373)",1316
5k,brow,"brow (760), brows (397)",1157
5k,buckle,"buckle (248), buckled (133), buckler (24), bucklers (2), buckles (107), buckling (64), unbuckle (5), unbuckled (21), unbuckles (2), unbuckling (9)",615
5k,bud,"bud (444), budded (19), budding (233), buds (426)",1122
5k,buffer,"buffer (705), buffered (129), buffering (37), buffers (121)",992
5k,bulge,"bulge (263), bulged (75), bulges (71), bulging (288)",697
5k,bulletin,"bulletin (825), bulletins (167)",992
5k,burgle,"burgle (13), burglar (327), burglaries (181), burglarize (0), burglarized (0), burglarizes (0), burglarizing (0), burglars (305), burglary (551), burgled (137), burgles (1), burgling (19)",1534
5k,bust,"bust (791), bustier (19), bustiest (0), busts (87), busty (15)",912
5k,butcher,"butcher (879), butchered (68), butchering (28), butchers (231), butchery (46)",1252
5k,butt,"butt (467), butted (68), butting (53), butts (150)",738
5k,bypass,"bypass (739), bypassed (96), bypasses (59), bypassing (73)",967
5k,calf,"calf (700), calve (14), calved (22), calves (425), calving (79)",1240
5k,candy,"candy (398), candied (33), candies (3), candying (0)",434
5k,cane,"cane (510), caned (23), canes (113), caning (29)",675
5k,cannon,"cannon (685), cannoned (48), cannoning (10), cannons (125)",868
5k,captive,"captive (435), captives (118), captivities (1), captivity (358)",912
5k,carbohydrate,"carbohydrate (350), carbohydrates (204)",554
5k,cardboard,cardboard (700),700
5k,cardinal,"cardinal (773), cardinally (1), cardinals (150)",924
5k,cassette,"cassette (824), cassettes (327)",1151
5k,catastrophe,"catastrophe (399), catastrophes (61), catastrophic (393), catastrophically (24)",877
5k,causal,"causal (1181), causalities (1), causality (125), causally (75)",1382
5k,cellar,"cellar (654), cellars (221)",875
5k,cellular,"cellular (741), extracellular (136), intercellular (60), intracellular (200)",1137
5k,cement,"cement (698), cementation (58), cementations (0), cemented (112), cementing (44), cements (115)",1027
5k,ceramic,"ceramic (390), ceramicist (7), ceramicists (0), ceramics (349)",746
5k,cereal,"cereal (493), cereals (425)",918
5k,chalk,"chalk (955), chalked (82), chalkier (1), chalkiest (0), chalkiness (1), chalking (20), chalks (25), chalky (87)",1171
5k,chant,"chant (393), chanted (154), chanter (21), chanters (1), chanting (286), chants (134)",989
5k,chap,"chap (1515), chappie (59), chappies (11), chappy (36), chaps (407)",2028
5k,charitable,"charitable (694), charitableness (1), charitably (35), uncharitable (35), uncharitably (15)",780
5k,chatter,"chatter (328), chattered (97), chatterer (7), chatterers (3), chattering (298), chatters (13)",746
5k,chemist,"chemist (694), chemists (535)",1229
5k,cherry,"cherry (893), cherries (225)",1118
5k,chimney,"chimney (714), chimneys (284)",998
5k,chord,"chord (581), chordal (37), chords (452)",1070
5k,chorus,"chorus (967), chorused (42), choruses (82), chorusing (1)",1092
5k,chuck,"chuck (663), chucked (197), chucking (94), chucks (30)",984
5k,chuckle,"chuckle (209), chuckled (413), chuckler (0), chuckles (51), chuckling (87)",760
5k,cigar,"cigar (469), cigars (191)",660
5k,circus,"circus (719), circuses (73)",792
5k,clamp,"clamp (316), clamped (300), clamping (134), clamps (83)",833
5k,clan,"clan (456), clannish (8), clans (121)",585
5k,clap,"clap (192), clapped (307), clapper (19), clappers (17), clapping (186), claps (35)",756
5k,clasp,"clasp (159), clasped (434), clasping (108), clasps (38), unclasp (1), unclasped (17), unclasping (7), unclasps (0)",764
5k,claw,"claw (325), clawed (168), clawing (86), claws (409)",988
5k,cleanse,"cleanse (113), cleansed (105), cleanser (59), cleansers (31), cleanses (16), cleansing (348), cleansings (0)",672
5k,clench,"clench (80), clenched (591), clenches (10), clenching (80), unclenched (17)",778
5k,clergy,"clergy (1349), clergies (0)",1349
5k,cloak,"cloak (695), cloaked (94), cloaks (133)",922
5k,clown,"clown (368), clowned (0), clowning (53), clownish (17), clownishly (0), clownishness (0), clowns (152)",590
5k,coarse,"coarse (653), coarsely (55), coarsen (1), coarsened (16), coarseness (36), coarsening (7), coarsens (2), coarser (74), coarsest (17)",861
5k,cocaine,cocaine (681),681
5k,cock,"cock (676), cocked (249), cockier (3), cockiest (2), cockily (3), cockiness (13), cocking (56), cocks (149), cocky (123)",1274
5k,cocktail,"cocktail (697), cocktails (118)",815
5k,coefficient,"coefficient (407), coefficients (316)",723
5k,coerce,"coerce (53), coerced (101), coercer (0), coercers (0), coerces (7), coercing (13), coercion (333), coercive (190), coercively (8)",705
5k,coil,"coil (471), coiled (198), coiling (53), coils (233), uncoil (9), uncoiled (17), uncoiling (11), uncoils (3)",995
5k,coke,"coke (604), coked (6), cokes (24), coking (21)",655
5k,collision,"collision (641), collisions (171)",812
5k,comb,"comb (433), combed (176), combing (110), combs (122)",841
5k,commemorate,"commemorate (264), commemorated (147), commemorates (74), commemorating (113), commemoration (102), commemorations (18), commemorative (190)",908
5k,commence,"commence (446), commenced (655), commencement (350), commences (139), commencing (284), recommence (36), recommenced (26), recommencement (5), recommencements (0), recommences (5), recommencing (3)",1949
5k,commend,"commend (278), commendable (154), commendably (36), commendation (92), commendations (40), commendatory (0), commended (316), commending (29), commends (33)",978
5k,commonwealth,"commonwealth (1764), commonwealths (1)",1765
5k,communal,"communal (722), communally (46)",768
5k,communism,communism (991),991
5k,compartment,"compartment (562), compartmental (8), compartmentalisation (12), compartmentalise (6), compartmentalised (17), compartmentalises (2), compartmentalising (1), compartmentalization (9), compartmentalize (2), compartmentalized (17), compartmentalizes (1), compartmentalizing (2), compartments (259)",898
5k,compassion,"compassion (621), compassions (2)",623
5k,compliment,"compliment (484), complimentary (318), complimented (77), complimenting (33), compliments (246)",1158
